Item Name,Item Category,,,
E-Waste Collection & Recycling charges of Refrigerator (CEEW2) for the month of Mar '23,Refrigerator,,,Li-ion Battery-Scrap
E-Waste Collection & Recycling charges of Washing Machine (CEEW3) for month of Mar '23,Washing Machine,,,Consulting services-Scientific and technical
Li-ion Battery-Scrap,Batteries,,,Consultancy Services
Consulting services-Scientific and technical,Services,,,Used Waste Oils
Consultancy Services,Services,,,E-waste Collection & Recycling Charges ITEW 21
Used Waste Oils,Others,,,ITEW 21 - E-waste Scanner
E-waste Collection & Recycling Charges ITEW 21,Scanner,,,Scrap Rubber
ITEW 21 - E-waste Scanner,Scanner,,,E - Waste Collection and Recycling Charges (ITEW 2)
Scrap Rubber,Others,,,Services for Virtual E Waste Awareness
E - Waste Collection and Recycling Charges (ITEW 2),ITEW2,,,E-Waste Collection & Recycling charges of Refrigerator (CEEW2) for month of Sep'21 & Oct'21
Services for Virtual E Waste Awareness,Services,,,E-Waste Collection & Recycling charges of Washing Machine (CEEW3) for month of Sep'21 & Oct'21
E-Waste Collection & Recycling charges of Refrigerator (CEEW2) for month of Sep'21 & Oct'21,Refrigerator,,,E-Waste Collection & Recycling charges Refrigerator (CEEW2) for month of Sep'21 & Oct'21
E-Waste Collection & Recycling charges of Washing Machine (CEEW3) for month of Sep'21 & Oct'21,Washing Machine,,,E-Waste Collection & Recycling charges Washing Machine (CEEW3) for month of Sep'21 & Oct'21
E-Waste Collection & Recycling charges Refrigerator (CEEW2) for month of Sep'21 & Oct'21,Refrigerator,,,"Dell 7440
"
E-Waste Collection & Recycling charges Washing Machine (CEEW3) for month of Sep'21 & Oct'21,Washing Machine,,,"Dell 6420
"
"Dell 7440
",Laptop,,,"Dell 6440
"
"Dell 6420
",Laptop,,,"Dell D630
"
"Dell 6440
",Laptop,,,"Dell 7240
"
"Dell D630
",Laptop,,,"Lenovo T410
"
"Dell 7240
",Laptop,,,"Iphone 6s
"
"Lenovo T410
",Laptop,,,"Samsung
 Mobile"
"Iphone 6s
",Laptop,,,"Ipad
"
"Samsung
 Mobile",Laptop,,,"Epbax
"
"Ipad
",Laptop,,,ITEM 9 - User Terminals and Sysytems
"Epbax
",Laptop,,,E-waste Collection & Recycling Charges (ITEW - 9 User Terminals and Systems)
ITEM 9 - User Terminals and Sysytems,ITEW9,,,Tender Fee
E-waste Collection & Recycling Charges (ITEW - 9 User Terminals and Systems),ITEW9,,,"MacBook Pro (13-inch, Mid 2012)
C1MQV0F9DTY3
"
Tender Fee,Others,,,"MacBook Pro (13-inch, Mid 2012)
C1MRP0HXDTY3

"
"MacBook Pro (13-inch, Mid 2012)
C1MQV0F9DTY3
",Laptop,,,"MacBook Pro (13-inch, Mid 2012)
C1MRQ3G7DTY3
"
"MacBook Pro (13-inch, Mid 2012)
C1MRP0HXDTY3

",Laptop,,,"MacBook Pro (13-inch, Mid 2012)
C1MQM6Y2DTY3

"
"MacBook Pro (13-inch, Mid 2012)
C1MRQ3G7DTY3
",Laptop,,,"MacBook Pro (13-inch, Mid 2012)
C1MQV0F8DTY3

"
"MacBook Pro (13-inch, Mid 2012)
C1MQM6Y2DTY3

",Laptop,,,"MacBook Pro (13-inch, Mid 2012)
C1MDM79HDTY3
"
"MacBook Pro (13-inch, Mid 2012)
C1MQV0F8DTY3

",Laptop,,,"MacBook Pro (13-inch, Mid 2012)
C1MPJ7LXDTY3
"
"MacBook Pro (13-inch, Mid 2012)
C1MDM79HDTY3
",Laptop,,,"MacBook Pro (13-inch, Mid 2012)
C1MSD2BLDTY3
"
"MacBook Pro (13-inch, Mid 2012)
C1MPJ7LXDTY3
",Laptop,,,"MacBook Pro (13-inch, Mid 2012)
C1MRP0FTDTY3
"
"MacBook Pro (13-inch, Mid 2012)
C1MSD2BLDTY3
",Laptop,,,"MacBook Pro (13-inch, Mid 2012)
C1MPL0UPDTY3
"
"MacBook Pro (13-inch, Mid 2012)
C1MRP0FTDTY3
",Laptop,,,"MacBook Pro (13-inch, Mid 2012)
C1MQV0KHDTY3
"
"MacBook Pro (13-inch, Mid 2012)
C1MPL0UPDTY3
",Laptop,,,"MacBook Pro (13-inch, Mid 2012)
C1MRP0G8DTY3
"
"MacBook Pro (13-inch, Mid 2012)
C1MQV0KHDTY3
",Laptop,,,"MacBook Pro (13-inch, Mid 2012)
C1MSD2DPDTY3
"
"MacBook Pro (13-inch, Mid 2012)
C1MRP0G8DTY3
",Laptop,,,"MacBook Pro (13-inch, Mid 2012)
C02JCV1VDTY3
"
"MacBook Pro (13-inch, Mid 2012)
C1MSD2DPDTY3
",Laptop,,,"MacBook Pro (13-inch, Mid 2012)
C1MS65TEDTY3
"
"MacBook Pro (13-inch, Mid 2012)
C02JCV1VDTY3
",Laptop,,,"MacBook Pro (13-inch, Mid 2012)
C1MQV0L9DTY3

"
"MacBook Pro (13-inch, Mid 2012)
C1MS65TEDTY3
",Laptop,,,"MacBook Pro (13-inch, Mid 2012)
C1MPL0QWDTY3

"
"MacBook Pro (13-inch, Mid 2012)
C1MQV0L9DTY3

",Laptop,,,"MacBook Pro (13-inch, Mid 2012)
C1MS7091DTY3

"
"MacBook Pro (13-inch, Mid 2012)
C1MPL0QWDTY3

",Laptop,,,"MacBook Pro (13-inch, Mid 2012)
C1MRT6NYDTY3
"
"MacBook Pro (13-inch, Mid 2012)
C1MS7091DTY3

",Laptop,,,"MacBook Pro (13-inch, Mid 2012)
C1MPL0Y6DTY3
"
"MacBook Pro (13-inch, Mid 2012)
C1MRT6NYDTY3
",Laptop,,,"MacBook Pro (13-inch, Mid 2012)
C1MS7091DTY3
"
"MacBook Pro (13-inch, Mid 2012)
C1MPL0Y6DTY3
",Laptop,,,"MacBook Pro (13-inch, Mid 2012)
C1MSD269DTY3
"
"MacBook Pro (13-inch, Mid 2012)
C1MS7091DTY3
",Laptop,,,"15-inch MacBook Pro 2015
C02VP0W6G8WN
"
"MacBook Pro (13-inch, Mid 2012)
C1MSD269DTY3
",Laptop,,,"15-inch MacBook Pro 2015
C02VP0YZG8WN
"
"15-inch MacBook Pro 2015
C02VP0W6G8WN
",Laptop,,,"15-inch MacBook Pro 2015
C02VV0DTG8WN
"
"15-inch MacBook Pro 2015
C02VP0YZG8WN
",Laptop,,,"15-inch MacBook Pro 2015
C02W90LTG8WN
"
"15-inch MacBook Pro 2015
C02VV0DTG8WN
",Laptop,,,"15-inch MacBook Pro 2015
C02W24LHG8WN
"
"15-inch MacBook Pro 2015
C02W90LTG8WN
",Laptop,,,"15-inch MacBook Pro 2015
C02WQ0Q3G8WN
"
"15-inch MacBook Pro 2015
C02W24LHG8WN
",Laptop,,,"15-inch MacBook Pro 2015
C02WP1KRG8WN
"
"15-inch MacBook Pro 2015
C02WQ0Q3G8WN
",Laptop,,,"15-inch MacBook Pro 2015
C02WP15LG8WN
"
"15-inch MacBook Pro 2015
C02WP1KRG8WN
",Laptop,,,"15-inch MacBook Pro 2015
C02WP13FG8WN
"
"15-inch MacBook Pro 2015
C02WP15LG8WN
",Laptop,,,"15-inch MacBook Pro 2015
C02VVOAGG8WN
"
"15-inch MacBook Pro 2015
C02WP13FG8WN
",Laptop,,,"13-inch MacBook Pro 2017
FVFYG9T2HV29
"
"15-inch MacBook Pro 2015
C02VVOAGG8WN
",Laptop,,,"LENOVO T540P
R90GQUSD
"
"13-inch MacBook Pro 2017
FVFYG9T2HV29
",Laptop,,,"LENOVO T460
PC079HJD
"
"LENOVO T540P
R90GQUSD
",Laptop,,,"Lenovo T450
PC09P26S
"
"LENOVO T460
PC079HJD
",Laptop,,,"DELL-INSPIRON
6G39T12
"
"Lenovo T450
PC09P26S
",Laptop,,,"DELL-VOSTRO
6TQ0832
"
"DELL-INSPIRON
6G39T12
",Laptop,,,"LENOVO T460
PC0JLW6C
"
"DELL-VOSTRO
6TQ0832
",Laptop,,,"DELL-INSPIRON
HTK8102
"
"LENOVO T460
PC0JLW6C
",Laptop,,,"C0EAE4854200
SonicWall
"
"DELL-INSPIRON
HTK8102
",Laptop,,,"161604300624
ZF 7372
"
"C0EAE4854200
SonicWall
",Laptop,,,"351502001668
ZF 7372
"
"161604300624
ZF 7372
",Others,,,"20141290249
Opti Link
"
"351502001668
ZF 7372
",Others,,,E-Waste Collection & Recycling charges of Refrigerator (CEEW2) for month of Nov '21
"20141290249
Opti Link
",Others,,,E-Waste Collection & Recycling charges Washing Machine (CEEW3) for month of Nov'21
E-Waste Collection & Recycling charges of Refrigerator (CEEW2) for month of Nov '21,Refrigerator,,,E-Waste Collection & Recycling charges of Washing Machine (CEEW3) for the month of Nov '21
E-Waste Collection & Recycling charges Washing Machine (CEEW3) for month of Nov'21,Washing Machine,,,"Monitor 19"" inch (Working)
"
E-Waste Collection & Recycling charges of Washing Machine (CEEW3) for the month of Nov '21,Washing Machine,,,"Keyboards
"
"Monitor 19"" inch (Working)
",Laptop,,,"Mouse
"
"Keyboards
",Laptop,,,"Laptop (Not Working)
"
"Mouse
",Laptop,,,"DVD Readers
"
"Laptop (Not Working)
",Laptop,,,"CPU (Not working)
"
"DVD Readers
",Laptop,,,"Monitor(Not Working)
"
"CPU (Not working)
",Laptop,,,"Cables
"
"Monitor(Not Working)
",Laptop,,,"Power Cables
"
"Cables
",Batteries,,,"7.2 AH
"
"Power Cables
",Batteries,,,42 AH
"7.2 AH
",Batteries,,,65 AH
42 AH,Batteries,,,100 AH
65 AH,Batteries,,,26 AH Amaron Batteries
100 AH,Batteries,,,42 AH Amaron Batteries
26 AH Amaron Batteries,Batteries,,,65 AH Amaron Batteries
42 AH Amaron Batteries,Batteries,,,E-Waste Collection & Recycling charges of Refrigerator (CEEW2) for month of Dec '21
65 AH Amaron Batteries,Batteries,,,E-Waste Collection & Recycling charges of Washing Machine (CEEW3) for the month of Dec '21
consultancy services,Batteries,,,"Acer E5-551
Hp I3
Lenovo
Lenovo
Asus 15, X555L
Dell
Lenovo Idea Pad
Lenovo E4080
Lenovo i3 G5080
Asus I3 A555L
Asus R558U
Asus I3 A555L
Asus EeePC
Asus I3 A556U
Asus I3 A555L
Asus I3 A555L
Samsung 300E
Asus R558U
Asus I3 A555L
"
E-Waste Collection & Recycling charges of Refrigerator (CEEW2) for month of Dec '21,Services,,,"CAT Cables
"
E-Waste Collection & Recycling charges of Washing Machine (CEEW3) for the month of Dec '21,Services,,,"Water purifier
Electric Kettle
First Aid Box
Tissue paper dispenser
Extension boards
"
"Acer E5-551
Hp I3
Lenovo
Lenovo
Asus 15, X555L
Dell
Lenovo Idea Pad
Lenovo E4080
Lenovo i3 G5080
Asus I3 A555L
Asus R558U
Asus I3 A555L
Asus EeePC
Asus I3 A556U
Asus I3 A555L
Asus I3 A555L
Samsung 300E
Asus R558U
Asus I3 A555L
",Laptop,,,E-waste Collection Charges
