Item Name,Category,Delete
Rubber Gloves Surf,Rubber,Remove
Rubber Stamp,Office Stationery,
Rubber tube ,Rubber,Remove
S S Sorting Table,Furniture,
S.S Trough Table,Furniture,
Sacks and Bags,Upcycled Textile Products,
Safety Gloves,Consumables,
Safety Goggles,Plastics,
Safety helmet yellow,Plastics,
Safety net 10/175 ,Others,
SAFETY SHOES,Consumables,
SAFETY SHOES - FUEL,Others,
Safety shoes - Hilson workout,Others,
Safety Shoes - Ladies,Others,
SAFETY SHOES - PRIDE,Others,
Safety Shoes- Fuel,Others,
Safety valve,Others,
Salary,Charges,
Salt - Sugar,Consumables,
Sample box charges ,Elecric & Machine Tools,
sand bucket,Plastics,
Sanitary chamber cleaning,Charges,
SANITIZER,Consumables,
SANITIZERS,Consumables,
Sarees for ladies,Uniform,
Sarvam Monitoring and Evaluation,Charges,
Satin Black,Textile,Remove
Satin Standees,Standee,
SAW DUST,Others,
Scaffolding Material Rental Charges,Charges,
Scanning Box,Elecric & Machine Tools,
SCF,Others,
SCF-,Others,
School Bench,Others,
Scissor Lift Table ,Furniture,
Scissors,Others,
Scrap,Others,
Scrap Clearing & Disposal,Others,
Scrap Microwave Ovens,Mixed Ewaste,
Scrap Office goods,Others,
Scrap-Mixed Plastic,Plastics,
Scratch & Patch,Plastics,
Screen printing ,Printer,
Screw Driver Set BDS 125 Taparia,Elecric & Machine Tools,
Scrubber brush,Consumables,
Seagate 4TB Surveillance HDD,Camera,
Seal Kit Assy,Others,
Seating Sheet work ,Recycled Roofing Sheet,
Second grade Black PP,Plastics,
Security Deposit,Charges,
Security Services ,Security Services,
Segregating Stand ,Others,
Segregation labour charges,Charges,
Seive,Others,
Self Leveling Compound,Others,
self screws,Elecric & Machine Tools,
Semi Electric Stacker,Machine,
Semi Electric Stacker service & Maintainance,Repairs and Maintenance,
Semi Sorted-,Others,
Sensor cable 4 core,Wire,
Septic tank Clearance,Other Services,
Servers & Acc,IT Software & Networking,
Service Care Payment,Other Services,
Service Charges,Other Services,
Service charges for assembling & disambling conveyor ,Repairs and Maintenance,
Service charges for baler machine,Other Services,
Service Charges for WMGT,Other Services,
Service Fee-Plastic Waste Collection,Waste Collection Services,
Service Sharges,Other Services,
SERVICES,Other Services,
Servos Massimo IP Tall tubular  battery,Battery,
Shaft Pul,Others,
Shed drawing & Machine layout,Machine,
Sheet Cutting,Recycled Roofing Sheet,
Sheet Extrusion,Recycled Roofing Sheet,
Shipping & Handling Charges,Charges,
Shipping Charges,Charges,
Shipping-Charges,Charges,
Shivanika foods Clearance,Consumables,
Shoes & Slippers,Consumables,
Shoes & Slippers-,Consumables,
Shovels 2),Elecric & Machine Tools,
Shredded Black PP,Plastics,
Shredded Color PP,Plastics,
Shredded Mix HDPE,HDPE,
Shredded Mixed PP,Plastics,
Shredded Natural PP,Plastics,
Shredded Paper,Paper Scrap,Remove
Shredded PP,Plastics,
Shredded TR HDPE,HDPE,
Shredded White HDPE,HDPE,
Shredded White PP,Plastics,
Shredded White PP Food plate,Plastics,
SHREDDER CUTTERS,Elecric & Machine Tools,
SHREDDER MACHINE,Machine,
Signage and Paper Board,Board,
Signage Board,Board,
SIGNAGE BOARD 10*10,Board,
SIGNAGE BOARD 10*24,Board,
SILICON SEALANT,Consumables,
Single Box Baler,Elecric & Machine Tools,
SINGLE TUBE ZOOM MICROSCOPE,Elecric & Machine Tools,
single use mask,Upcycled Textile Products,
Siren,Machine,
Sisal Fibre Straw Cleaners,Plastics,
Site fitting and labour,Others,
Site rental for debris storage,Others,
Slim laptop bag (bag pack),Upcycled Textile Products,
Small Bags,Upcycled Textile Products,
Small Vehicle Accenture dry clearance,Transportation,
Small Vehicle Infosys Mcity glass clearance,Transportation,
Small Vehicle Infosys Shols Dry clearance,Transportation,
Small Vehicle One Paramount Dry,Transportation,
Soap,Consumables,
Soap Oil,Consumables,
Social inclusion incentive support,Others,
Social Inclusion Surcharge,Charges,
Socket,Wire,
Socket Fixing and connection ,Wire,
Socks Black,Upcycled Textile Products,
Soft Broom,Consumables,
Software Development,IT Software & Networking,
Software Installation,IT Software & Networking,
Sorted Material Purchase,Others,
Sorted waste,Others,
Sorting Cost,Charges,
Sorting Staff,Other Services,
SPCB Event for awareness,Awareness,
Specimen Prep/Conditioning,Others,
Spray Gun,Elecric & Machine Tools,
Spray paint,Consumables,
Spring pump,Machine,
spring verify,Others,
Squeegee wheel,Others,
Squeezer /  Floor Wiper,Consumables,
SS Bins,Bins,
SS Chopper,Machine,
SS Trough table,Furniture,
SS Water Bottles,PET Bottles,
SSCI WHITE BOARD 3FX4F ,Board,
SSD,Others,
stacker,Others,
Standee,Standee,
Standee 6x 3 New,Standee,
Standee 6X3 Old,Standee,
Standees,Standee,
Starter 3hp,Machine,
Stationary Charges,Charges,
Stationery,Charges,
Statutory  and Compliance Service,Statutory and Compliance Service,
Statutory & Compliance Services ,Statutory and Compliance Service,
Statutory and Compliance Services,Statutory and Compliance Service,
STATUTORY FEE FOR FILING TM EXXTENDIT under  cl 37 and cl 35.,Charges,
Steal Scrubber,Elecric & Machine Tools,
Steel,Elecric & Machine Tools,
Steel 30 Door Mobile Locker,Elecric & Machine Tools,
Steel Ball,Elecric & Machine Tools,
Steel Glass door Almirah ,Elecric & Machine Tools,
Steel straw,Elecric & Machine Tools,
Stickers,Printing,
Stitching Charges ,Charges,
Storage Racks Fabrication,Furniture,
Structural Design and consultation,Charges,
Sub Lease Rent,Charges,
Submission charges ,Charges,
Suction motor 23 QV,Machine,
Sugar,Consumables,
SUGAR/TEA POWDER,Consumables,
Sunboard,Board,
Sunboard -Vinyle Printing with lamination,Board,
Sunboard-Vinyle Printing with Lamination,Board,
Supervisor Cost,Charges,
Supervisor Uniforms,Upcycled Textile Products,
Supply and Installation of CT operated energy meter,Machine,
Supply and installation of Electrical work,Charges,
Supply of Fire Blankets,Others,
Supply of Fire Bucket,Others,
Supply of Fire Extinguisher (ABC 4Kg),Fire Extinguisher,
Supply of Signages,Others,
Supply of Stand,Others,
Surf exel,Consumables,
Surgical Mask,Upcycled Textile Products,
Swing bearing,Machine,
Switch Box,Elecric & Machine Tools,
Switch box and 8 model box,Elecric & Machine Tools,
SWITCH TYPE 1 MCB,Elecric & Machine Tools,
SWP-Dry Waste (Payback),Payback,
Symphony Sumo,Others,
Syren fixing and connection,Charges,
SyRotech Modem + Router,Machine,
SZW Hard Bound Diary,Recycled paper Products,
SZW Notepad,Recycled paper Products,
T - Rolls,Recycled paper Products,
T Shirts,Upcycled Textile Products,
T470s Base,Others,
T470s KEYBOARD,Computer and Accessories,
Table Frame,Furniture,
Table structure,Furniture,
Tables,Furniture,
Tags,Recycled paper Products,
Tape,Plastics,
Tape Insulation,Plastics,
Tape Roll,Plastics,
TAPE ROLL (DEER),Plastics,
Tarpaulin 1,Recycled Roofing Sheet,
Tarpaulin Sheet,Recycled Roofing Sheet,
Tarpaulin Sheet (AC0420),Recycled Roofing Sheet,
TATA ACE VEHICLE HIRED,Transportation,
TC Dol Stater,Machine,
TCS@0.1%,Others,
Tea glass,Paper,Remove
Tea Powder,Consumables,
Tea/Cofe,Consumables,
Technical Services,Other Services,
telescope pole,Elecric & Machine Tools,
Tensile Test,Others,
TENT HOUSE ,Textile,Remove
Testing & Training,Other Services,
Testing Charges,Charges,
Tetra Pak,Plastics,
Textile,Upcycled Textile Products,
Textile Bricks,Upcycled Textile Products,
TGA,Others,
THARMCOL,Thermocol,
Thermacol ,Thermocol,
Thermacol.,Thermocol,
Thermocol (Ghatta),Thermocol,
Thick Natural Plastic,Plastics,
Thin Natural Plastic,Plastics,
THINKPAD LOGO,Recycled paper Products,
THINKPAD LOGO SATA Y CABLE,Wire,
Thinner,Consumables,
THREAD,Upcycled Textile Products,
Thread roll,Upcycled Textile Products,
Threading &  Threading welding work for Baling machine,Machine,
Tiffin Boxes,Gifts and Novelties ,
Tiffin Boxes - Gift,Gifts and Novelties ,
tiltiag Arbour circular saw,Elecric & Machine Tools,
Tinner,Elecric & Machine Tools,
Tins,Aluminum Scrap,
Tipper for C&D Debris Removal ,Transportation,
Tissue Papers,Recycled paper Products,
Toilet - brush,Consumables,
Toilet brush,Consumables,
Toilet Cleaner,Consumables,
Token advance,Charges,
Toll Charge,Charges,
Tools (crate 1,Elecric & Machine Tools,
Toughened Glass,Others,
Towards arranging calibration,Others,
Tracking Device,Others,
Training & Awareness Session of Waste Management,Awareness,
Transit Insurance,Charges,
Translation Service,Language Translation Services,
Translation Services,Language Translation Services,
Transparent - Cover,Plastics,
Transparent Cover,Plastics,
Transparent flexibles  Plastic,Plastics,
Transport Charges,Transportation,
Transportation and labours charges,Transportation,
Transportation and Processing ,Transportation,
Transportation Chennai Enviro Engineers,Transportation,
Transportation of Paper waste,Transportation,
Transportationcharges,Transportation,
Travel expense,Charges,
Travel Pouch,Upcycled Textile Products,
Travelling Charges,Charges,
Tray Big,Tray,
Tray Small,Tray,
Trays,Tray,
Trolly Cabinet - Big,Furniture,
Truck Cost,Charges,
TRUCK UNION PADMINI,Charges,
TRUE Certification,TRUE Zero Certification,
TRUE Registration,TRUE Zero Certification,
TV full unit,LED/LCD/TV (CEEW1),
Twin Box Baler ,Machine,
Tyre purchase ,Charges,
UK3 Utility Knifes,Elecric & Machine Tools,
Ultimate handbag,Upcycled Textile Products,
Uniform Trouser,Upcycled Textile Products,
Unlaminated HDPE Bags,HDPE,
Unloading,Others,
Unsorted Dry Transportation - One Paramount,Transportation,
Upcycled Cloth Bags,Upcycled Textile Products,
Up-Cycled Denim Bag - Pack,Upcycled Textile Products,
Up-cycled Denim Bag-Pack ,Upcycled Textile Products,
Upcycled Denim Product,Upcycled Textile Products,
UPS & Battery,Battery,
UPS Connection,Battery,
UPS Repair,Charges,
UPS Repaired and labour charges,Charges,
UPS Switch not worked removed connection,Elecric & Machine Tools,
USB Keyboard & Mouse,Computer and Accessories,
USB TO SERIAL PORT CONVERTER,Computer and Accessories,
Used Corrugated Boxes,Elecric & Machine Tools,
Used Fuel Filters,Others,
USED LAPTOPS,Computer and Accessories,
Used Lube Oil,Consumables,
Used Oil,Consumables,
Valve VE MPW 06_2 1 0 Y Yuken,Machine,
VECHICLE HALT ,Transportation,
Vehice hiring,Transportation,
Vehicle fabrication,Machine Installation and Setup,
Vehicle Hold ,Vehicle,Remove
Vehicle holding chargers,Charges,
Vehicle rent,Charges,
Vehicle service and repair,Repairs and Maintenance,
Vertiv 20 kva Ups,Battery,
VFD AC Drive,Air Conditioner,
VGF,Others,
Vibrating feeder,Machine,
Vibrating hopper feeder,Machine,
Vibrating Screen,Computer and Accessories,
Vibratory feeder VS,Machine,
Vibratory feederr,Machine,
Video Connector,Wire,
Vinyl Sticker with Lamination,Wire,
Vinyl sticker with lamination.,Wire,
Vinyl sticker with sunboard,Wire,
Vinyl Stickers With Matt lamination,Wire,
Vinyl with 5mm Sun Board with Lamination,Wire,
Vision sensing development,Others,
Vision sensing edge device,Machine,
Visiting Cards,Recycled paper Products,
VS Edge device,Machine,
Walk Behind Scrubbing Machine,Machine,
Wall Fan Clamp,Fan,
WALL FANS,Fan,
Wall mount kit,Others,
Warehouse rent ,Charges,
Waste Audit Fee,Charges,
Waste Bin Ppt Wheelie90 Ltr,Bins,
Waste Collection and Processing,Collection Charges,
Waste Handling,Charges,
Waste Handling Charges ,Charges,
Waste Management Service,Waste Management Service,
Waste Management Services  Imperial Anekal Waste  Collection and Transportation.  October 2025,Waste Management Service,
Waste Management Services Hub&Spoke Waste Collection and Transportation,Waste Management Service,
waste pickup & Processing,Collection Charges,
Waste Plastic Scrap,Plastics,
waste Processing Charges,Charges,
Waste Segregation Bin,Bins,
Water Bottles,PET Bottles,
Water Can Stand,Plastics,
Water Charges,Charges,
WATER CO2 TYPE 50 LTR,Plastics,
Water Cup PP,Plastics,
Water Dispenser,Plastics,
Water Level Controller,Machine,
water motor connection,Machine,
Water motor not worked,Machine,
Water Purifier,Machine,
Water purifier service,Machine,
Waterproof Aprons,Consumables,
WATT LED B22 LAMP 6500K HAVELL,Lighting Items,
WEIGH BRIDGE ,Others,
WEIGH BRIDGE CHARGES,Charges,
Weighing Scale,Machine,
Weighing Scale Repair Charges,Charges,
Weighing scale service,Repairs and Maintenance,
WEIGHMENT CHARGES,Charges,
Weight Bridge Charge ,Charges,
Weld mesh,Office Set-up,
Welding,Repairs and Maintenance,
Welding For Baling Machine,Repairs and Maintenance,
WELDING ROD,Repairs and Maintenance,
Wet Transportation - one Paramount,Transportation,
Wet waste Clearing,Wet Waste Processing,
Wet Waste Processing to Biogas,Wet Waste Processing,
wet waste processing to compost,Wet Waste Processing,
wet waste processing to Composting,Wet Waste Processing,
Wet Waste Sorting Trough,Wet Waste Processing,
Wheelie Waste Bin 240Lts,Bins,
Wheels,Consumables,
wheels soap,Consumables,
White Board - 3'2,Board,
White Cover,Recycled paper Products,
WHITE HDPE,HDPE,
White Marker Board - 6x4',Board,
White Paper,Recycled paper Products,
WHITE PP,Plastics,
White PP Bucket,Plastics,
White PP CP,Plastics,
White Shredded HDPE.,HDPE,
Whitener,Plastics,
whitner,Plastics,
Wifi bill,IT Software & Networking,
Wifi dongle,IT Software & Networking,
Wind Shield Glass,Others,
Window Grill Work,Others,
WINDOW Steel Mesh Fabrication,Office Set-up,
WINDOW Steel Mesh Fabrication ,Office Set-up,
Wipro Emerald LED 5W,Lighting Items,
WIRE ,Wire,
Wiring,Wire,
WITH RS 232 CONNECTION,Wire,
Witness Charge per day,Charges,
Wood - gatta,Furniture,
Wood gat POP slash  20 nos,Furniture,
Wood gatta,Furniture,
wood scrap,Furniture,
Wood Screw,Furniture,
Work Table,Furniture,
woven bags,Upcycled Textile Products,
Yearly API License,IT Software & Networking,
Yellow HDPE,HDPE,
ZEBRA ZD 420,Others,
WHITE PAPER,Recycled paper Products,
NEWS PAPER,Paper,Remove
AMC Start Date:- 28/02/2023 End Date:- 29/02/2024,Services,Remove
Packing,Others,
