Item Name,Category,Delete
Anti Vibration Mounting Pads,Vibration,
Anti vibratory,Vibration,
Antiseptic Liquid,Others,
APC 1.1.KVA UPS,Battery,
API Activation ,Others,
Api License ,Others,
API License (Yearly),Others,
API-Activation,Others,
API-License (Yearly),Others,
Apron,Others,
Assembling & Dissmentling of  conveyor mezzanine,Charges,
Assembling Cost,Charges,
Asset tracker 1,Others,
Asset tracker device,Others,
Assorted Products,Others,
Attendance Register,Recycled paper Products,
Auto,Others,
Automatic battery charger,Battery,
Awareness & IEC Goa MRF Project,Awareness,
Awareness SPCB event,Awareness,
AXR8 RESIN RIBBON 110 X 300 MTR,Others,
Background verification,Others,
Backhoe loader charges,Charges,
Badges,Badges,
Bags,PP Woven Bags/Sacks,
Bail tie,Others,
Bailer Repair,Repairs and Maintenance,
Balance ,Others,
Balck PP Bale,Plastics,
Bale Patty Straps,Others,
Baler Machine New Stand,Others,
Baler Machine wire connection & Conveyor Machine 2 MCB Connection,Machine,
Baling Charges,Charges,
Baling Machine,Machine,
Baling Machine - Motor Starter & Coil Replacement,Machine,
Baling Machine Motor Repaird,Machine,
Baling Machine Repair,Machine,
Ball bearing,Machine,
Bamboo Straw,EconProducts,
Banana Fibre Products,EconProducts,
Banner,Banner,
Banner Canvas (4.5*3),Banner,
Banner Canvas (5*4),Banner,
Banner Canvas (8.5*4),Banner,
Batteries,Battery,
Battery Cable,Battery,
BATTERY CHARGER,Battery,
BATTERY CHARGER SEMI ELE,Battery,
Battery Interlink & cables,Battery,
Battery Pack and Cables ,Battery,
Battery Rack with Top Cover,Battery,
Bearing Box,Machine,
Bearing Set,Machine,
BGA REWORK  MACHINE,Machine,
Bhagwati General Store,Others,
big vehicle,Transportation,
Big vehicle Accenture,Transportation,
Big vehicle Infosys Mcity AC foam clearance,Transportation,
Bill Books Printing Charges,Charges,
Binder Clips 32mm,Others,
Bins,Bins,
Bio floor & toilet cleaner,Consumables,
Bio Floor Cleaner,Consumables,
Bio metric device,Machine,
Biobac Transportation charges ,Charges,
BIOCON INSULATION TAPE,Plastics,
Bioculum,Consumables,
biomedical incineration,Consumables,
Biomedical Waste Disposal,Consumables,
Biometric Device,Machine,
Bizlog Collection center,Collection Charges,
BLACK HIIT,Others,
Black hit,Others,
Black PP,Plastics,
Black Road Waste,Others,
Blade Holding Shaft,Others,
Blades,Others,
Bleaching powder,Others,
Blower,Machine,
Blown Film Extrusion,Others,
Blue Harpic,Plastics,
Blue HDPE,HDPE,
"blue jerkin with 2"" radium",Others,
Bluetooth dongle,Computer and Accessories,
BNC Box,Elecric & Machine Tools,
BNSH 140/4 with M16x1.5x150mm ,Others,
BOARD,Board,
Boat pouch,Others,
Bonus,Others,
Book Printing & Binding 1/4th,Recycled paper Products,
Book shelf,Plastics,
Book Shelves,Plastics,
Bora Bag Small,PP Woven Bags/Sacks,
bora bags,PP Woven Bags/Sacks,
bora bags (big),PP Woven Bags/Sacks,
Bore well Maintenance,Repairs and Maintenance,
Borewell Motor Problem,Machine,
BOSCH BLOWER,Machine,
Box Drawer,Elecric & Machine Tools,
Box File,Office Stationery,
Box files,Office Stationery,
box printing &pasting,Elecric & Machine Tools,
Box showcase,Elecric & Machine Tools,
BPL Ac 1.5T,Others,
Breaker Charges (Boulders Breaking),Charges,
Brochure,Recycled paper Products,
Broken Glass,Others,
Brokerage Service Charges towards Land Facilitation relating to MRF Unit 02,Charges,
Brookfield - Ace Transportation (Dry),Transportation,
Brookfield - canter transportation (dry),Transportation,
Broom stick,Consumables,
BRUSHES,Others,
BSNL - Internet,Services,Remove
Bucket Composter,Composter,
Bule Shredded HDPE (Ujala),HDPE,
Bunting,Recycled paper Products,
Bush,Others,
Butter - Milk,Paper,Remove
Butter milk,Paper,Remove
BVC 2.0,Others,
C G Holder,Others,
C&D Transport and Processing ,Transportation,
C&D waste processing,Collection Charges,
Cabinet,Furniture,
Cable laying,Wire,
Cable Routing and Labour Charges,Wire,
Cable tie,Wire,
Cable tie 200mm,Wire,
Cable ties (Tags),Wire,
Cables & Accessories,Wire,
Cabling/1MT,Wire,
Calibration for Electronic Weighing Scales,Machine,
Calibrations for Electronic Weighing Scales,Machine,
Camera Fitting Charges,Charges,
Camera Fitting Charges - indoor,Charges,
Camera Support,Camera,
Canter Transportation Charges,Transportation,
Canvas Banner 4.5*3,Banner,
Canvas Banner 5*4,Banner,
Canvas Banner 8.5*4,Banner,
CAPPER,Others,
Carbon Sheet,Recycled paper Products,
Cardboard/carton,Elecric & Machine Tools,
Carpentary work,Office Set-Up,
Carton Bags,Carton Bags,
Carton Box (Baled),Carton Box,
Carton Box 2-,Carton Box,
Carton Box No 2 -,Carton Box,
Carton Boxes,Carton Box,
Carton Rolls,Recycled paper Products,
CARTONS,Carton Box,
Cascade Bale Clamp with Hydraulics,Elecric & Machine Tools,
CAT 5e CCTV Cable,Camera,
CAT 6 CABLE / 1 MTR,Wire,
CAT 6 Cable Wiring,Wire,
Cat 6a Cable shielded,Wire,
Cat 6a I/O Keystone,Others,
Catalogue,Paper,Remove
CC Just Dispose ,Paper,Remove
CCTV,Camera,
CCTV Camera ,Camera,
CCTV Connectors,Camera,
CEEW 1(CRT/LED/LCD TV),LED/LCD/TV (CEEW1),
CEEW 3 (Refrigetor),Refrigerator,
CEEW 3 (Washing Machine),Washing Machine,
CEEW 4 (Air conditioner),Air Conditioner,
CEEW 4 (Washing Machine),Washing Machine,
CEEW1 - CRT monitor & TV,LED/LCD/TV (CEEW1),
CEEW1 - LED,LED/LCD/TV (CEEW1),
CEEW1 - TFT Monitor full unit,LED/LCD/TV (CEEW1),
CEEW1 - TV stand,LED/LCD/TV (CEEW1),
Centre squeegee rubber,Rubber,Remove
Ceramics,Others,
Certificate,Paper,Remove
Chair,Plastics,
"Chair - 18""",Plastics,
Chairs 26' Height,Plastics,
Channelization of E-Waste,Collection Charges,
Charges for Destruction of EWaste,Charges,
Charges for disposal of sanitary waste,Charges,
checked and removed,Others,
Chopper bearing set assemble (new),Machine,
Chopper blades,Machine,
Chopper Machine,Machine,
Cibil Check,Others,
Civil Work,Services,Remove
Clamp,Elecric & Machine Tools,
CLAMP TYPE MAGNIFIER,Elecric & Machine Tools,
Clean cloth collecting,Textiles,Remove
Clean textile waste,Textile Waste,
Cleaning Service ,Services,Remove
CLEANING SUPPLIES,Consumables,
Cloth,Textile Waste,
Cloth Bags,Upcycled Textile Products,
Cloth Banner,Upcycled Textile Products,
Cloth Banner 4*3,Upcycled Textile Products,
Cloth Banner 5*4,Upcycled Textile Products,
Cloth Banner 6*3,Upcycled Textile Products,
cloth banner canva,Upcycled Textile Products,
Cloth Masks,Upcycled Textile Products,
Cloth toys - big,Upcycled Textile Products,
Cloth toys - small,Upcycled Textile Products,
Cloth Velvet,Upcycled Textile Products,
Cloth-Segregated Combustibe Fraction-,Upcycled Textile Products,
Cloud Hosting,IT Software & Networking,
CnD waste handling,Others,
Co2 4.5Kg Capacity Fire Extinguisher,Fire Extinguisher,
CO2 Fire extinguisher 2 Kg,Fire Extinguisher,
Coasters,Plastics,
COATED GLOVES,Upcycled Textile Products,
Coats- Field Staff,Upcycled Textile Products,
Coconut Broom Stick,Consumables,
Coconut Shell,Others,
Coconut Shells,Others,
Cocopeat,Consumables,
Cocopeat - 1 Kg (AC0080),Consumables,
Cocopeat Scoop (CC004O),Consumables,
coffee Powder,Others,
Colin,Consumables,
Collection Centers Rent,Collection Charges,
Collection drive (E-waste),Collection Charges,
Collection Drive E-waste,Collection Charges,
Collection Services of Non Hazardous Recycled mat,Collection Charges,
COLOR PAPER,Paper Scrap,
Color PP,Plastics,
COLORED PLASTIC FLEXIBLE,Plastics,
Colour LD,Paper Scrap,
Colour Paper,Paper Scrap,
Colour Pet,Plastics,
Colour PP,Plastics,
Commercial Vehicle procurement,Transportation,
Commissioning Charges,Charges,
Compartment door work,Services,Remove
Compost,Composter,
Compost Curing System,Composter,
Compost Hut,Composter,
Compost Hut-Bin,Composter,
Composting Brick,Composter,
Composting Consumables,Consumables,
Computer Repair,Repairs and Maintenance,
Computer Table,Furniture,
Conference Hall Charges,Charges,
Consultancy Fee,Consultancy Charges/Services,
consultancy services,Consultancy Charges/Services,
Consulting Charges for E Waste Clearance services,Consultancy Charges/Services,
Consumables,Consumables,
Consumables delivery,Transportation,
CONTRACTOR SERVICE ,Services,Remove
Conveyor Belt,Machine,
Conveyor belt not worked and controlling wiring,Machine,
Conveyor Machine,Machine,
Conveyor Machine Installation Charges,Machine,
Conveyor-VFD Problem,Machine,
Co-ordination & Management Fee,Charges,
Co-Ordination&Management Fee,Charges,
Coordinator Fee ,Charges,
Coordinator Fees,Charges,
Copier Paper A4,Recycled paper Products,
Copper Bus,Wire,
Copper Bus Bar,Wire,
Copper flexible cable,Wire,
Copper Wire,Wire,
Copper Wire 1.6,Wire,
Co-Processing Charges,Charges,
Cordination Fees,Charges,
Core copper cable,Wire,
Cork Diaries - Hardbound,Recycled paper Products,
Cotton Mask,Upcycled Textile Products,
Cotton Straw Pouch ,Upcycled Textile Products,
cotton thread,Upcycled Textile Products,
cotton thread roll,Upcycled Textile Products,
Coupling washer,Others,
Courier & Parcel Charges,Charges,
Crane ,Machine,
CRANE HIRING CHARGES,Charges,
Criminal Check,Others,
Crimping,Others,
CT COM,Others,
